Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7btzRuXC6Ed3rIyomBRkO2,"My Universe","My Universe","Coldplay;BTS",2021-09-27,226198,60,false,69oh5k00ex7bpgk11ozuiftdn,2021-10-26T05:14:43Z,"k-pop","Parlophone UK",0.573,0.711,1,-6.268,0,0.0406,0.0114,0,0.328,0.47,105.006,4
spotify:track:052vSBPxqdmYRDlkSPiavc,"Cry Baby","Cry Baby (Deluxe Edition)","Melanie Martinez",2015-08-14,239080,68,true,69oh5k00ex7bpgk11ozuiftdn,2021-10-26T05:17:27Z,"","Atlantic Records",0.686,0.691,5,-4.616,0,0.0371,0.257,0,0.145,0.477,95.046,4
spotify:track:2gGdO0zLa9W8ce1Ig0BzFK,"Somebody's Watching Me","12"" 80s Classics","Rockwell",2010-06-28,293586,63,false,69oh5k00ex7bpgk11ozuiftdn,2021-10-26T05:34:56Z,"","Universal Music Group International",0.795,0.579,1,-7.507,0,0.0348,0.115,0.0000292,0.0576,0.874,123.924,4
spotify:track:00ZprREYIexO3pgJlPgPau,"My Body's Made of Crushed Little Stars","Puberty 2","Mitski",2016-06-17,116742,60,false,69oh5k00ex7bpgk11ozuiftdn,2021-10-28T03:25:22Z,"","Dead Oceans",0.199,0.746,7,-8.234,1,0.0648,0.0000214,0.00005,0.471,0.328,82.348,4
spotify:track:7lRlq939cDG4SzWOF4VAnd,"I'm Not Okay (I Promise)","Three Cheers for Sweet Revenge","My Chemical Romance",2004-06-08,186480,78,true,69oh5k00ex7bpgk11ozuiftdn,2021-10-28T03:25:43Z,"emo,pop punk","Reprise",0.21,0.94,9,-3.427,1,0.123,0.00602,0,0.269,0.255,179.722,4
spotify:track:4oaU0fMSg3n9kqOwmLPVhH,"Partners in Crime (feat. Ash Costello)","Cinematics (Expanded Edition)","Set It Off;Ash Costello",2013-06-25,211026,71,false,69oh5k00ex7bpgk11ozuiftdn,2021-10-28T03:26:03Z,"","Equal Vision Records",0.376,0.939,1,-3.437,1,0.0572,0.00704,0,0.116,0.815,190.109,4
spotify:track:3KwwE4sgCzMaKWq6QBebmX,"Me Too","Thank You (Deluxe Version)","Meghan Trainor",2017-05-12,181240,76,false,69oh5k00ex7bpgk11ozuiftdn,2021-10-28T03:39:02Z,"","Epic",0.934,0.694,11,-5.849,0,0.101,0.0971,0.0000012,0.477,0.833,123.831,4
spotify:track:1taGkdO3DQsNRIQrarhVvc,"Puttin' on the Ritz","After Eight","Taco",1982-01-01,281160,60,false,69oh5k00ex7bpgk11ozuiftdn,2021-10-28T03:46:37Z,"electro swing","Aviator-Entertainment",0.798,0.292,0,-17.112,1,0.0777,0.152,0.00101,0.185,0.812,98.653,4
spotify:track:3qj3nALu8VvPUcRdaZC80o,"I Kissed a Boy","I Kissed a Boy","Jupither",2011-03-22,176432,52,false,69oh5k00ex7bpgk11ozuiftdn,2021-10-28T03:46:54Z,"","A West Side Fabrication - X5 Music Group",0.564,0.844,6,-3.3,1,0.126,0.000246,0,0.59,0.514,129.966,4
spotify:track:1pXrR5Y9OgcIV2JEAl2lCB,"I Kissed A Girl","One Of The Boys","Katy Perry",2008-06-17,179640,71,false,69oh5k00ex7bpgk11ozuiftdn,2021-10-28T03:46:58Z,"pop","Capitol Records",0.702,0.76,5,-3.174,1,0.0684,0.00226,0,0.132,0.696,129.996,4
spotify:track:2Y0iGXY6m6immVb2ktbseM,"Little Dark Age","Little Dark Age","MGMT",2018-02-09,299933,79,false,69oh5k00ex7bpgk11ozuiftdn,2021-11-02T20:53:26Z,"indie","Columbia",0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,4
spotify:track:0kn2gu8Pd03DiYHzRvX2Xk,"Wish You Were Sober","Kid Krow","Conan Gray",2020-03-20,168880,70,true,69oh5k00ex7bpgk11ozuiftdn,2021-11-02T20:54:32Z,"","Republic Records",0.701,0.728,2,-5.226,1,0.0468,0.0178,0,0.17,0.696,91.071,4
,"undefined","undefined","undefined",,,,,69oh5k00ex7bpgk11ozuiftdn,2021-11-02T20:58:03Z,"","undefined",,,,,,,,,,,,
spotify:track:2xQShwyOMYlX10w8dxbFX1,"Shit","Inside (The Songs)","Bo Burnham",2021-06-10,78426,0,true,69oh5k00ex7bpgk11ozuiftdn,2021-11-02T20:59:32Z,"comedy","Bo Burnham",0.939,0.687,10,-5.215,1,0.126,0.058,0,0.101,0.936,120.022,4
spotify:track:7iaQV6plfQRead7XdleWM4,"Aftermath","<I°_°I>","Caravan Palace",2015-10-16,185869,50,false,69oh5k00ex7bpgk11ozuiftdn,2021-11-02T21:00:25Z,"electro swing,swing music,nu jazz","Café de la danse",0.614,0.663,8,-7.105,1,0.0406,0.232,0.00318,0.297,0.403,140.018,4
spotify:track:04ReaGQRaPD5JHq08QejmG,"Employment Cost","Employment Cost","Roe Kapara",2021-06-22,97445,0,false,69oh5k00ex7bpgk11ozuiftdn,2021-11-02T21:00:38Z,"","Roe Kapara",0.769,0.524,4,-7.006,1,0.0785,0.282,0,0.136,0.507,133.078,4
spotify:track:1kzX75T8diB81V7wZGajrH,"Fuck the Bourgeoisie","Trauma Portfolio","Feral",2019-07-12,188708,27,true,69oh5k00ex7bpgk11ozuiftdn,2021-11-02T21:00:43Z,"midwest emo","1369188 Records DK",0.466,0.649,0,-6.895,0,0.0413,0.481,0,0.313,0.638,129.514,4
spotify:track:11wAcKCmJzScMJwHH5cjWi,"A Crow's Trial","A Crow's Trial","Vane Lily",2020-08-05,210909,37,false,69oh5k00ex7bpgk11ozuiftdn,2021-11-02T21:00:49Z,"vocaloid","2240653 Records DK",0.56,0.543,9,-11.722,1,0.0613,0.221,0.000479,0.111,0.343,82.572,4
spotify:track:1EpKvCBKXiJUtU47LFtZ38,"Love Like You","Love Like You","Caleb Hyles",2017-07-15,246455,43,false,69oh5k00ex7bpgk11ozuiftdn,2021-11-02T21:00:56Z,"","Caleb Hyles Music",0.543,0.124,3,-15.651,1,0.0506,0.977,0.0000887,0.117,0.137,95.412,3
spotify:track:4Phnrzy56Yt0VNooKCwr3p,"I Want You","Retired from Sad, New Career in Business","Mitski",2013-08-01,183792,0,false,69oh5k00ex7bpgk11ozuiftdn,2021-11-02T21:01:04Z,"","Mitski",0.286,0.292,3,-11.294,1,0.0362,0.514,0,0.0713,0.0635,131.58,3
spotify:track:7MB22jLCA12Ev7Jjp3e1aU,"Bullet","American Tragedy (Deluxe Edition)","Hollywood Undead",2011,197813,0,true,69oh5k00ex7bpgk11ozuiftdn,2021-11-02T21:01:08Z,"rap rock,rap metal","Interscope Records*",0.681,0.833,4,-4.334,1,0.121,0.179,0,0.0677,0.889,184.975,4
spotify:track:6U6MfMNZMK4McZP6vTfqNF,"Our Word","36 Questions: Songs from Act 2","Jessie Shelton;36 Questions",2017-07-24,317080,44,false,69oh5k00ex7bpgk11ozuiftdn,2021-11-02T21:01:15Z,"musicals","36Q, LLC",0.767,0.418,8,-8.701,0,0.0469,0.677,0.000554,0.0732,0.426,114.971,4
spotify:track:3rq5w4bQGigXOfdN30ATJt,"Do I Wanna Know?","AM","Arctic Monkeys",2013-01-01,272394,1,false,69oh5k00ex7bpgk11ozuiftdn,2021-11-02T21:01:38Z,"indie,garage rock","EMI Recorded Music Australia Pty Ltd",0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4
